index,cls,afs5_3,afs7_3,afs9_3,afs5_4,afs7_4,afs9_4,afs5_5,afs7_5,afs9_5,cnt,ar5_3,ar7_3,ar9_3,ar5_4,ar7_4,ar9_4,ar5_5,ar7_5,ar9_5,kpi5_3,kpi7_3,kpi9_3,kpi5_4,kpi7_4,kpi9_4,kpi5_5,kpi7_5,kpi9_5
90,4123,4544,6426,8303,2914,4134,5271,2065,2876,3654,7753,0.59,0.83,1.07,0.38,0.53,0.68,0.27,0.37,0.47,933.24,3674.3,10171.53,159.9,615.46,1657.37,40.65,145.68,379.37
91,41235,3170,4278,5317,1981,2614,3166,1345,1737,2072,4009,0.79,1.07,1.33,0.49,0.65,0.79,0.34,0.43,0.52,1562.93,5240.73,12508.97,233.06,717.87,1560.96,52.86,138.1,291.34
92,41253,518,726,912,317,440,557,227,314,392,992,0.52,0.73,0.92,0.32,0.44,0.56,0.23,0.32,0.4,72.83,282.43,710.16,10.39,37.48,97.82,2.76,10.29,25.09
93,4132,1352,1888,2445,881,1218,1585,647,881,1126,2229,0.61,0.85,1.1,0.4,0.55,0.71,0.29,0.4,0.51,306.88,1159.47,3254.3,56.38,202.64,567.29,15.78,56.38,149.37
94,41325,1050,1431,1742,715,944,1123,473,619,732,1256,0.84,1.14,1.39,0.57,0.75,0.89,0.38,0.49,0.58,622.34,2120.09,4678.35,132.41,398.25,791.68,25.95,72.82,142.82
95,41352,296,434,558,187,283,366,132,198,253,686,0.43,0.63,0.81,0.27,0.41,0.53,0.19,0.29,0.37,23.53,108.52,296.54,3.68,19.5,54.49,0.91,4.83,12.82
96,41523,363,494,629,247,337,427,183,250,312,527,0.69,0.94,1.19,0.47,0.64,0.81,0.35,0.47,0.59,119.25,410.31,1059.97,25.64,88.34,226.93,7.85,25.96,64.08
97,41532,395,577,740,256,368,477,186,248,327,683,0.58,0.84,1.08,0.37,0.54,0.7,0.27,0.36,0.48,77.07,341.99,932.19,12.97,57.95,163.61,3.66,11.57,36.16
98,4213,10353,14506,18546,6298,8835,11305,4320,6094,7749,17249,0.6,0.84,1.08,0.37,0.51,0.66,0.25,0.35,0.45,2236.25,8597.76,23362.62,319.01,1171.97,3250.14,67.5,261.28,706.13
99,42135,2971,4000,4926,1768,2353,2859,1181,1574,1900,3658,0.81,1.09,1.35,0.48,0.64,0.78,0.32,0.43,0.52,1578.91,5180.12,12119.81,195.53,616.82,1356.74,38.7,125.14,267.16
