index,cls,kpi5_3,afr5_3,kpi7_3,afr7_3,kpi9_3,afr9_3,kpi5_4,afr5_4,kpi7_4,afr7_4,kpi9_4,afr9_4,kpi5_5,afr5_5,kpi7_5,afr7_5,kpi9_5,afr9_5
92,41253,72.83,-0.665,282.43,-0.65,710.16,-0.672,10.39,-0.69,37.48,-0.697,97.82,-0.705,2.76,-0.63,10.29,-0.608,25.09,-0.625
93,4132,306.88,0.41,1159.47,0.438,3254.3,0.501,56.38,0.679,202.64,0.636,567.29,0.712,15.78,0.98,56.38,1.15,149.37,1.059
94,41325,622.34,1.359,2120.09,1.177,4678.35,1.034,132.41,1.1,398.25,0.93,791.68,0.905,25.95,0.98,72.82,1.15,142.82,1.059
95,41352,23.53,-0.892,108.52,-0.865,296.54,-0.863,3.68,-0.89,19.5,-0.843,54.49,-0.836,0.91,-0.878,4.83,-0.816,12.82,-0.808
96,41523,119.25,-0.452,410.31,-0.491,1059.97,-0.511,25.64,-0.236,88.34,-0.287,226.93,-0.315,7.85,0.054,25.96,-0.01,64.08,-0.042
97,41532,77.07,-0.646,341.99,-0.576,932.19,-0.57,12.97,-0.614,57.95,-0.532,163.61,-0.506,3.66,-0.509,11.57,-0.559,36.16,-0.46
98,4213,2236.25,1.359,8597.76,1.177,23362.62,1.034,319.01,1.1,1171.97,0.93,3250.14,0.905,67.5,0.98,261.28,1.15,706.13,1.059
99,42135,1578.91,1.359,5180.12,1.177,12119.81,1.034,195.53,1.1,616.82,0.93,1356.74,0.905,38.7,0.98,125.14,1.15,267.16,1.059
100,42153,70.87,-0.674,275.04,-0.659,825.46,-0.619,10.19,-0.696,39.64,-0.68,110.82,-0.666,2.66,-0.643,8.88,-0.661,24.96,-0.627
101,4231,1269.74,1.359,6219.41,1.177,18686,1.034,247.58,1.1,1168.13,0.93,3540.51,0.905,62.3,0.98,309.7,1.15,901.7,1.059
102,42315,851.54,1.359,2747.38,1.177,6089.93,1.034,171.6,1.1,535.16,0.93,1182.79,0.905,42.22,0.98,122.23,1.15,263.18,1.059
103,42513,87.12,-0.6,334.12,-0.585,806.24,-0.628,19.24,-0.427,73.09,-0.41,189.15,-0.429,6.84,-0.082,26.86,0.024,69,0.031
104,42531,54.04,-0.752,208.54,-0.741,520.16,-0.76,9.44,-0.719,31.02,-0.75,82.88,-0.75,2.11,-0.717,7.13,-0.728,17.65,-0.736
105,4312,1316.47,1.359,5960.22,1.177,19223,1.034,206.33,1.1,923.28,0.93,3088.09,0.905,46.02,0.98,208.53,1.15,683,1.059
106,43125,1466.09,1.359,4763.65,1.177,11411.66,1.034,187.89,1.1,650.85,0.93,1398.75,0.905,38.74,0.98,143.77,1.15,294.65,1.059
107,43152,34.13,-0.843,138.87,-0.828,501.66,-0.769,6.54,-0.805,31.65,-0.744,103.5,-0.688,2.46,-0.67,11.25,-0.571,34.25,-0.488
108,4321,2366.07,1.359,10721.95,1.177,36436.95,1.034,339.81,1.1,1643.14,0.93,5815.8,0.905,83,0.98,394.72,1.15,1455.69,1.059
109,43215,1574.2,1.359,4868.3,1.177,10219.07,1.034,346.37,1.1,1077.23,0.93,2047.41,0.905,78.98,0.98,248.85,1.15,475.81,1.059
110,43251,21.38,-0.902,84.61,-0.895,248.18,-0.886,2.22,-0.934,9.61,-0.922,30.86,-0.907,0.61,-0.918,2.28,-0.913,6.06,-0.909
111,43512,63.25,-0.709,303.11,-0.624,819.65,-0.622,10.49,-0.688,44.87,-0.638,115.12,-0.653,3.29,-0.558,13.56,-0.483,34.43,-0.485
112,43521,66.05,-0.696,235.59,-0.708,619.12,-0.714,7.18,-0.786,24.31,-0.804,73.88,-0.777,1.31,-0.824,4.26,-0.838,14.01,-0.791
113,45123,161.68,-0.257,575.36,-0.286,1587.25,-0.268,21.63,-0.356,83.47,-0.326,262.22,-0.209,4.67,-0.373,16.42,-0.374,52.61,-0.214
114,45132,80.65,-0.629,337.67,-0.581,1054.14,-0.514,15.6,-0.535,63.04,-0.491,212.56,-0.359,4.67,-0.373,19.74,-0.247,63.04,-0.058
115,45213,362.91,0.668,1378.03,0.71,3619.11,0.669,38.67,0.152,145.23,0.173,388.37,0.172,8.82,0.184,29.67,0.132,75.1,0.122
116,45231,71.84,-0.67,327.24,-0.594,1155.53,-0.467,12.03,-0.642,57.39,-0.537,211.98,-0.36,2.08,-0.721,12.02,-0.542,47.12,-0.296
117,45312,240.35,0.104,907.2,0.126,2727.98,0.258,19.65,-0.415,82.69,-0.332,263.39,-0.205,4.64,-0.377,19.56,-0.254,64.35,-0.038
118,45321,162.26,-0.254,789.07,-0.021,3275.31,0.511,21.88,-0.348,125.78,0.016,558.51,0.685,3.83,-0.486,22.1,-0.157,110.67,0.654
119,51234,386.09,0.774,1733.52,1.151,5182.82,1.034,63.77,0.9,254.05,0.93,701.86,0.905,14.9,0.98,57.18,1.15,146.31,1.059
120,51243,93.77,-0.569,507.52,-0.37,1434.72,-0.338,15.13,-0.549,78.59,-0.365,223.35,-0.326,5.31,-0.287,24.18,-0.078,60.31,-0.099
121,51324,473.81,1.177,1786.2,1.177,4309.59,0.988,96.17,1.1,348.56,0.93,834.2,0.905,23.15,0.98,82.64,1.15,192.54,1.059
122,51342,78.75,-0.638,378.88,-0.53,1076.72,-0.503,13.34,-0.603,73.41,-0.407,211.81,-0.361,5.03,-0.325,23.65,-0.098,66.91,0
123,51423,175.21,-0.195,801.65,-0.005,2168.12,0,47.65,0.419,197.9,0.598,467.15,0.409,14.75,0.98,48.28,0.841,118.5,0.771
124,51432,97.16,-0.554,435.2,-0.46,1238.48,-0.429,26.75,-0.203,118.63,-0.042,316.89,-0.044,8.51,0.142,33.04,0.26,84.12,0.257
125,52134,459.43,1.111,1702.07,1.112,4409.47,1.034,45.17,0.346,156.55,0.264,401.87,0.212,8.81,0.183,30.4,0.159,70.81,0.058
126,52143,172.79,-0.206,737.18,-0.085,2147.5,-0.01,27.57,-0.179,120.08,-0.031,331.44,0,6.31,-0.153,24.87,-0.051,73.49,0.098
127,52314,649.95,1.359,2300.36,1.177,5503.18,1.034,149.98,1.1,530.49,0.93,1281.1,0.905,47.05,0.98,158.34,1.15,343.62,1.059
128,52341,50.82,-0.766,241.11,-0.701,702.6,-0.676,7.91,-0.764,33.78,-0.727,105.5,-0.682,2.62,-0.648,10.47,-0.601,29.67,-0.557
129,52413,217.61,0,961.6,0.193,2515.61,0.16,38.35,0.142,183.94,0.485,487.95,0.472,14.23,0.91,62.29,1.15,144.18,1.059
130,52431,117.94,-0.458,550.25,-0.317,1460.39,-0.326,17.39,-0.482,83.48,-0.326,221.78,-0.331,3.99,-0.464,19.74,-0.247,51.2,-0.235
131,53124,830.19,1.359,2789.26,1.177,7013.21,1.034,85.86,1.1,291.13,0.93,729.64,0.905,15.51,0.98,61.55,1.15,143.51,1.059
132,53142,113.15,-0.48,533.67,-0.338,1748.42,-0.194,22.4,-0.333,105,-0.152,340.46,0.027,8.84,0.187,38.5,0.468,106,0.584
133,53214,1114.37,1.359,4179.68,1.177,10604.92,1.034,196.63,1.1,704.08,0.93,1754.24,0.905,49.13,0.98,180.24,1.15,447.73,1.059
134,53241,87.89,-0.596,416.94,-0.483,1273.56,-0.413,13.95,-0.584,72.58,-0.414,219.7,-0.337,5.35,-0.282,23.25,-0.113,66.23,-0.01
135,53412,347.54,0.597,1754.4,1.177,5331.03,1.034,80.56,1.1,396.08,0.93,1113.33,0.905,24.56,0.98,108.84,1.15,302.02,1.059
136,53421,230.19,0.058,1308.59,0.623,4034.5,0.861,33.57,0,206.97,0.671,631.43,0.905,6.21,-0.166,39.33,0.5,136.86,1.045
137,54123,402.24,0.848,1852.06,1.177,5388.83,1.034,56.48,0.682,239.08,0.93,730.03,0.905,13.74,0.844,63.37,1.15,176.64,1.059
138,54132,161.96,-0.256,787.87,-0.023,2792.23,0.288,23.68,-0.295,123.86,0,485.24,0.464,9.08,0.219,39.75,0.516,148.63,1.059
139,54213,878,1.359,3930.46,1.177,11643.61,1.034,152.62,1.1,648.36,0.93,1873.16,0.905,38.02,0.98,170.71,1.15,475.54,1.059
140,54231,190.91,-0.123,980.96,0.217,3469.19,0.6,31.02,-0.076,170.43,0.376,651.36,0.905,7.02,-0.058,41.2,0.571,169.86,1.059
141,54312,770.06,1.359,3787.75,1.177,12754.31,1.034,144.9,1.1,700.92,0.93,2306.54,0.905,37.68,0.98,187.23,1.15,595.18,1.059
142,54321,545.79,1.359,3056.4,1.177,10709.77,1.034,93.28,1.1,543.24,0.93,1871.98,0.905,19.41,0.98,107.9,1.15,397.23,1.059
